SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
batch_c_rt,0.95,21,25,0.0,0.0,26.9894413586222,26.9894413586222,0.0,optimal,26.989441358622226
batch_c_rt,0.95,21,24,0.0,0.0,27.2632160733638,27.2632160733638,0.0,optimal,27.263216073363846
batch_c_rt,0.95,21,23,0.0,0.0,27.5495163484455,27.5495163484455,0.0,optimal,27.549516348445476
batch_c_rt,0.95,21,22,0.0,0.0,27.845349728804,27.845349728804,0.0,optimal,27.845349728803992
batch_c_rt,0.95,21,21,0.0,0.0,28.1333602199809,28.1333602199809,0.0,optimal,28.133360219980876
batch_c_rt,0.95,21,20,0.0,0.0,28.438015714774,28.438015714774,0.0,optimal,28.438015714774025
batch_c_rt,0.95,21,19,0.0,0.0,28.7553164517441,28.7553164517441,0.0,optimal,28.755316451744093
batch_c_rt,0.95,21,18,0.0,0.0,29.0854325901208,29.0854325901208,0.0,optimal,29.085432590120785
batch_c_rt,0.95,21,17,0.0,0.0,29.4229379916436,29.4229379916436,0.0,optimal,29.422937991643586
batch_c_rt,0.95,21,16,0.0,0.0,29.7714639755328,29.7714639755328,0.0,optimal,29.771463975532818
batch_c_rt,0.95,21,15,0.0,0.0,30.1265603276535,30.1265603276535,0.0,optimal,30.126560327653454
batch_c_rt,0.95,21,14,0.0,0.0,30.4900202084122,30.4900202084122,0.0,optimal,30.490020208412187
batch_c_rt,0.95,21,13,0.0,0.0,30.9059277436623,30.9059277436623,0.0,optimal,30.905927743662282
batch_c_rt,0.95,21,12,0.0,0.0,31.3474389120969,31.3474389120969,0.0,optimal,31.34743891209688
batch_c_rt,0.95,21,11,0.0,0.0,31.8569586419252,31.8569586419252,0.0,optimal,31.85695864192517
batch_c_rt,0.95,21,10,0.0,0.0,32.4330555048144,32.4330555048144,0.0,optimal,32.4330555048144
batch_c_rt,0.95,21,9,0.0,0.0,33.0444046300055,33.0444046300055,0.0,optimal,33.044404630005445
batch_c_rt,0.95,21,8,0.0,0.0,33.6199699651336,33.6199699651336,0.0,optimal,33.619969965133606
batch_c_rt,0.95,21,7,0.0,0.0,34.1559320999972,34.1559320999972,0.0,optimal,34.155932099997166
batch_c_rt,0.95,21,6,0.0,0.0,34.6110803607892,34.6110803607892,0.0,optimal,34.61108036078921
batch_c_rt,0.95,21,5,0.0,0.0,35.0085021398761,35.0085021398761,0.0,optimal,35.00850213987613
batch_c_rt,0.95,21,4,0.0,0.0,35.4698112291766,35.4698112291766,0.0,optimal,35.469811229176614
batch_c_rt,0.95,21,3,0.0,0.0,36.0328045212145,36.0328045212145,0.0,optimal,36.03280452121451
batch_c_rt,0.95,21,2,0.0,0.0,36.7334673552837,36.7334673552837,0.0,optimal,36.73346735528371
batch_c_rt,0.95,21,1,0.0,0.0,38.0666016470667,38.0666016470667,0.0,optimal,38.06660164706675
vd,0.95,21,31,0.0,0.0,25.5329754918699,25.5329754918699,0.0,optimal,25.532975491869905
vd,0.95,21,31,0.25,0.0,25.3243127291127,25.3243127291127,0.0,optimal,25.32431272911273
vd,0.95,21,31,0.5,0.0,25.1156499663555,25.1156499663555,0.0,optimal,25.115649966355537
vd,0.95,21,31,0.75,0.0,24.9071390621092,24.9071390621092,0.0,optimal,24.907139062109227
vd,0.95,21,31,1.0,0.0,24.6988239980649,24.6988239980649,0.0,optimal,24.698823998064924
vd,0.95,21,31,1.25,0.0,24.4905089340206,24.4905089340206,0.0,optimal,24.490508934020596
vd,0.95,21,31,1.5,0.0,24.2821938699763,24.2821938699763,0.0,optimal,24.28219386997628
vd,0.95,21,31,1.75,0.0,24.073878805932,24.073878805932,0.0,optimal,24.07387880593198
vd,0.95,21,31,2.0,0.0,23.8655637418877,23.8655637418877,0.0,optimal,23.86556374188766
vd,0.95,21,31,2.25,0.0,23.6596769251099,23.6596769251099,0.0,optimal,23.659676925109924
vd,0.95,21,31,2.5,0.0,23.4617928224518,23.4617928224518,0.0,optimal,23.461792822451763
vd,0.95,21,31,2.75,0.0,23.2648956933539,23.2648956933539,0.0,optimal,23.264895693353893
vd,0.95,21,31,3.0,0.0,23.0712813806332,23.0712813806332,0.0,optimal,23.071281380633184
vd,0.95,21,31,3.25,0.0,22.8776670679125,22.8776670679125,0.0,optimal,22.877667067912473
vd,0.95,21,31,3.5,0.0,22.6872418630022,22.6872418630022,0.0,optimal,22.687241863002146
vd,0.95,21,31,3.75,0.0,22.5003918510903,22.5003918510903,0.0,optimal,22.500391851090278
vd,0.95,21,31,4.0,0.0,22.3142558558347,22.3142558558347,0.0,optimal,22.314255855834723
vd,0.95,21,31,4.25,0.0,22.1281198605792,22.1281198605792,0.0,optimal,22.128119860579158
