dum,t,solar,wind
416,416,0,0.529630705
417,417,0,0.586726141
418,418,0.20176,0.517485477
419,419,0.66846,0.828543568
420,420,0.84418,0.946917012
421,421,0.7056,0.948771784
422,422,0.74374,0.94126556
423,423,0.74774,0.942987552
424,424,0.7431,0.926477178
425,425,0.79098,0.906360996
426,426,0.6343,0.894547718
427,427,0,0.930298755
428,428,0,0.942377593
429,429,0,0.945506224
430,430,0,0.857780083
431,431,0,0.707526971
432,432,0,0.809390041
433,433,0,0.848950207
434,434,0,0.76486722
435,435,0,0.7273361
436,436,0,0.781116183
437,437,0,0.728634855
438,438,0,0.668896266
439,439,0,0.524352697
440,440,0,0.561481328
441,441,0,0.475327801
442,442,0.20484,0.254145228
443,443,0.66786,0.242323651
444,444,0.7368,0.145186722
445,445,0.79778,0.297435685
446,446,0.77226,0.346651452
447,447,0.82044,0.302809129
448,448,0.69838,0.306261411
449,449,0.70232,0.231917012
450,450,0.60538,0.242539419
451,451,0,0.226987552
452,452,0,0.296614108
453,453,0,0.362452282
454,454,0,0.389290456
455,455,0,0.441248963
456,456,0,0.438394191
457,457,0,0.427651452
458,458,0,0.441506224
459,459,0,0.469659751
460,460,0,0.430958506
461,461,0,0.348564315
462,462,0,0.305390041
463,463,0,0.22940249
464,464,0,0.180738589
465,465,0,0.102510373
466,466,0.18326,0.145809129
467,467,0.4768,0.023294606
468,468,0.47038,0.13366805
469,469,0.55694,0.071174274
470,470,0.5466,0.145315353
471,471,0.63824,0.101742739
472,472,0.61104,0.062116183
473,473,0.13032,0.052311203
474,474,0.2168,0.072763485
475,475,0,0.183477178
476,476,0,0.245556017
477,477,0,0.298120332
478,478,0,0.187605809
479,479,0,0.206074689
480,480,0,0.292497925
481,481,0,0.309995851
482,482,0,0.379012448
483,483,0,0.696211618
484,484,0,0.896568465
485,485,0,0.946900415
486,486,0,0.950248963
487,487,0,0.949348548
488,488,0,0.949481328
489,489,0,0.948020747
490,490,0.00354,0.945074689
491,491,0.03164,0.942684647
492,492,0.04122,0.947576763
493,493,0.07252,0.950298755
494,494,0.14288,0.949477178
495,495,0.1323,0.950286307
496,496,0.12734,0.949207469
497,497,0.11468,0.949473029
498,498,0.04462,0.950070539
499,499,0,0.95013278
500,500,0,0.949589212
501,501,0,0.949975104
502,502,0,0.950070539
503,503,0,0.950062241
504,504,0,0.949248963
505,505,0,0.949609959
506,506,0,0.942738589
507,507,0,0.949709544
508,508,0,0.933219917
509,509,0,0.942896266
510,510,0,0.935713693
511,511,0,0.946302905
512,512,0,0.949659751
513,513,0,0.9493361
514,514,0.00932,0.948145228
515,515,0.10504,0.918004149
516,516,0.684,0.872053942
517,517,0.6478,0.920282158
518,518,0.68708,0.84586722
519,519,0.6781,0.790502075
520,520,0.67514,0.80853527
521,521,0.73706,0.718112033
522,522,0.6333,0.641593361
523,523,0.00216,0.550605809
524,524,0,0.599298755
525,525,0,0.669809129
526,526,0,0.753327801
527,527,0,0.845755187
528,528,0,0.789738589
529,529,0,0.284278008
530,530,0,0.264854772
531,531,0,0.420302905
532,532,0,0.774991701
533,533,0,0.778900415
534,534,0,0.696568465
535,535,0,0.576970954
536,536,0,0.603282158
537,537,0,0.621651452
538,538,0.28474,0.782950207
539,539,0.70106,0.395618257
540,540,0.76998,0.232161826
541,541,0.72212,0.279248963
542,542,0.72634,0.124576763
543,543,0.6744,0.047377593
544,544,0.63642,0.059792531
545,545,0.4939,0.074879668
546,546,0.41798,0.060692946
547,547,0,0.135995851
548,548,0,0.268717842
549,549,0,0.469775934
550,550,0,0.521443983
551,551,0,0.502373444
552,552,0,0.290373444
553,553,0,0.264605809
554,554,0,0.111813278
555,555,0,0.153240664
556,556,0,0.129381743
557,557,0,0.068784232
558,558,0,0.047278008
559,559,0,0.032290456
560,560,0,0.08139834
561,561,0,0.167087137
562,562,0.21712,0.265091286
563,563,0.7017,0.086340249
564,564,0.73416,0.152713693
565,565,0.72682,0.298589212
566,566,0.73306,0.546165975
567,567,0.7313,0.422925311
568,568,0.79064,0.388460581
569,569,0.77544,0.528850622
570,570,0.66384,0.369991701
571,571,0.2705,0.450070539
572,572,0,0.604576763
573,573,0,0.683219917
574,574,0,0.866215768
575,575,0,0.940593361
576,576,0,0.946767635
577,577,0,0.948688797
578,578,0,0.947609959
579,579,0,0.928904564
580,580,0,0.937929461
581,581,0,0.948950207
582,582,0,0.949701245
583,583,0,0.948904564
584,584,0,0.946647303
585,585,0,0.94780083
586,586,0.22076,0.949298755
587,587,0.68614,0.947423237
588,588,0.7298,0.947850622
589,589,0.8214,0.949825726
590,590,0.68632,0.949958506
591,591,0.8341,0.948174274
592,592,0.771,0.931560166
593,593,0.877,0.874477178
594,594,0.76324,0.862925311
595,595,0.2687,0.871547718
596,596,0,0.84960166
597,597,0,0.882385892
598,598,0,0.791883817
599,599,0,0.675742739
600,600,0,0.653215768
601,601,0,0.507062241
602,602,0,0.51646473
603,603,0,0.346817427
604,604,0,0.200572614
605,605,0,0.182784232
606,606,0,0.118659751
607,607,0,0.056091286
608,608,0,0.204614108
609,609,0,0.361481328
610,610,0.29604,0.322958506
611,611,0.75252,0.219634855
612,612,0.77632,0.052016598
613,613,0.82594,0.152539419
614,614,0.79056,0.23086722
615,615,0.831,0.228045643
616,616,0.76282,0.26739834
617,617,0.80262,0.161136929
618,618,0.1732,0.075821577
619,619,0.31004,0.023995851
620,620,0,0.022626556
