SA Param,R,batch_d_rt,batch_c_rt,vd,vc,p,Lower bound,Upper bound,Optimality Gap,Status,Objective
R,0.97,21,31,0.0,0.0,43.03994190705129,26.5216868633781,26.5216868633781,0.0,optimal,26.52168686337814
R,0.98,21,31,0.0,0.0,43.03994190705129,27.0587371366001,27.0587371366001,0.0,optimal,27.05873713660011
R,0.99,21,31,0.0,0.0,43.03994190705129,27.607178444235,27.607178444235,0.0,optimal,27.60717844423501
R,1.0,21,31,0.0,0.0,43.03994190705129,28.1567247390046,28.1567247390046,0.0,optimal,28.156724739004623
R,1.01,21,31,0.0,0.0,43.03994190705129,28.7068600197593,28.7068600197593,0.0,optimal,28.7068600197593
R,1.02,21,31,0.0,0.0,43.03994190705129,29.2590351406945,29.2590351406945,0.0,optimal,29.25903514069449
R,1.03,21,31,0.0,0.0,43.03994190705129,29.8209634586827,29.8209634586827,0.0,optimal,29.820963458682737
R,1.04,21,31,0.0,0.0,43.03994190705129,30.3856712903606,30.3856712903606,0.0,optimal,30.38567129036061
batch_d_rt,0.95,40,31,0.0,0.0,43.03994190705129,15.5780089308564,15.5780089308564,0.0,optimal,15.578008930856429
batch_d_rt,0.95,39,31,0.0,0.0,43.03994190705129,15.8990654822532,15.8990654822532,0.0,optimal,15.899065482253162
batch_d_rt,0.95,38,31,0.0,0.0,43.03994190705129,16.235803981787,16.235803981787,0.0,optimal,16.235803981787033
batch_d_rt,0.95,37,31,0.0,0.0,43.03994190705129,16.5841408925146,16.5841408925146,0.0,optimal,16.584140892514565
batch_d_rt,0.95,36,31,0.0,0.0,43.03994190705129,16.9504200656877,16.9504200656877,0.0,optimal,16.950420065687737
batch_d_rt,0.95,35,31,0.0,0.0,43.03994190705129,17.3349467931933,17.3349467931933,0.0,optimal,17.334946793193318
batch_d_rt,0.95,34,31,0.0,0.0,43.03994190705129,17.5904503060067,17.5904503060067,0.0,optimal,17.590450306006712
batch_d_rt,0.95,33,31,0.0,0.0,43.03994190705129,17.6879282330709,17.6879282330709,0.0,optimal,17.687928233070913
batch_d_rt,0.95,32,31,0.0,0.0,43.03994190705129,17.9503415625109,17.9503415625109,0.0,optimal,17.950341562510882
batch_d_rt,0.95,31,31,0.0,0.0,43.03994190705129,18.4039089099629,18.4039089099629,0.0,optimal,18.40390890996283
batch_d_rt,0.95,30,31,0.0,0.0,43.03994190705129,18.887511273512,18.887511273512,0.0,optimal,18.88751127351193
batch_d_rt,0.95,29,31,0.0,0.0,43.03994190705129,19.3980398410049,19.3980398410049,0.0,optimal,19.398039841004895
batch_d_rt,0.95,28,31,0.0,0.0,43.03994190705129,19.9405846639831,19.9405846639831,0.0,optimal,19.94058466398306
batch_d_rt,0.95,27,31,0.0,0.0,43.03994190705129,20.5139521836596,20.5139521836596,0.0,optimal,20.51395218365964
batch_d_rt,0.95,26,31,0.0,0.0,43.03994190705129,21.1094741306938,21.1094741306938,0.0,optimal,21.109474130693865
batch_d_rt,0.95,25,31,0.0,0.0,43.03994190705129,22.4094338149529,22.4094338149529,0.0,optimal,22.409433814952877
batch_d_rt,0.95,24,31,0.0,0.0,43.03994190705129,23.0883993912285,23.0883993912285,0.0,optimal,23.088399391228496
batch_d_rt,0.95,23,31,0.0,0.0,43.03994190705129,23.8138464284193,23.8138464284193,0.0,optimal,23.813846428419296
batch_d_rt,0.95,22,31,0.0,0.0,43.03994190705129,24.6045405037471,24.6045405037471,0.0,optimal,24.604540503747135
batch_d_rt,0.95,21,31,0.0,0.0,43.03994190705129,25.4475863124117,25.4475863124117,0.0,optimal,25.447586312411655
batch_d_rt,0.95,20,31,0.0,0.0,43.03994190705129,26.3545404847461,26.3545404847461,0.0,optimal,26.354540484746135
