,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
33,95.90249999999997,96.13410714285713,95.86595238095238,96.12494047619046,94.8326388888889,95.1326984126984,96.07230158730162,95.91714285714286,96.3546031746032,96.17418650793651,95.96656746031745,96.15238095238092,96.24751984126978,95.48734126984131,96.94517857142853
34,52.9725396825397,53.53071428571426,52.9770833333333,53.12494047619047,51.17815476190475,52.17638888888888,53.07615079365077,52.812857142857126,53.06501984126984,53.603591269841274,52.841388888888886,53.14928571428571,53.184226190476195,52.983353174603174,53.691428571428546
35,103.2825,103.94093253968246,103.28406746031744,103.29843253968255,96.26599206349209,103.0460714285714,102.85105158730158,103.30599206349204,103.63746031746038,104.01363095238098,103.43623015873023,103.40878968253966,103.4748214285714,103.3974404761905,105.16876984126992
36,39.72539682539682,40.29091269841267,39.73257936507937,39.71650793650792,36.69303571428571,39.58706349206351,39.33593253968253,39.82174603174603,40.342638888888885,40.38178571428572,40.068373015873014,39.82093253968252,39.95640873015873,40.27375,41.25446428571429
37,40.804880952380955,42.33109126984126,40.752599206349224,40.92831349206351,32.084107142857135,40.260178571428575,39.49117063492063,42.44142857142858,42.35978174603174,42.51307539682542,45.95107142857146,41.4584126984127,41.75319444444443,42.11182539682542,43.03853174603177
38,42.1999007936508,43.664424603174574,42.14976190476196,42.24759920634919,28.795019841269852,41.90232142857142,40.7842658730159,43.4820634920635,44.81480158730158,43.84208333333334,44.13238095238092,43.381269841269855,42.75119047619049,44.261884920634934,45.24091269841272
39,38.79454365079365,40.19888888888889,39.079345238095236,38.202837301587316,27.901626984126988,39.53680555555553,38.37930555555555,39.853154761904776,42.20789682539685,40.48593253968252,39.79680555555558,38.75886904761904,37.7694642857143,41.92849206349209,46.72900793650793
40,34.214563492063476,37.082162698412716,34.30482142857143,33.3595634920635,18.178015873015873,36.631488095238105,30.14561507936509,36.513690476190504,39.69736111111109,37.455099206349196,36.37656746031745,33.94990079365076,33.897579365079366,40.195396825396834,36.73531746031746
41,31.8469246031746,34.017857142857125,31.59888888888889,31.661805555555578,20.973849206349218,33.35115079365081,27.363730158730164,33.94109126984128,35.57595238095236,34.78047619047621,33.54682539682539,32.16565476190476,32.780535714285705,36.8725,39.54271825396826
42,26.600793650793644,29.98053571428569,25.52952380952382,27.638869047619046,11.740059523809528,26.965178571428595,17.533115079365082,29.571269841269835,29.516428571428566,30.457321428571444,28.533710317460322,28.297162698412702,29.079027777777792,29.193730158730165,33.89301587301586
43,30.79998015873017,32.1070734126984,30.231899801587296,31.38876984126983,17.654925595238108,30.949940476190495,26.48128472222222,32.15526785714288,32.61210813492065,32.288675595238125,31.829141865079368,31.776522817460318,32.19106646825397,31.8372371031746,37.28016865079365
44,29.600426587301595,32.47039186507938,29.18118551587303,29.64069940476191,15.02687003968254,30.890917658730153,23.722291666666674,31.668903769841275,32.13284226190477,33.17319940476191,31.347311507936542,30.147802579365074,31.546324404761883,33.698625992063505,32.16380456349207
45,34.83567460317462,36.89295634920637,34.633154761904756,35.03021825396826,20.170634920634924,34.59424603174603,32.01525793650791,36.513333333333335,36.05174603174604,37.4971626984127,36.15968253968254,35.88575396825396,36.46890873015873,35.81855158730159,48.37936507936509
46,29.534126984126985,30.78436507936508,29.382321428571416,29.722281746031733,16.900833333333328,29.245039682539684,27.777738095238107,32.034623015873024,30.647063492063516,30.908075396825385,31.777023809523794,30.224365079365075,30.978313492063492,30.306884920634907,46.40999999999998
47,28.43454365079366,29.71960317460317,28.020734126984127,28.583095238095243,12.145317460317468,29.35648809523808,24.422876984126983,30.38720238095238,30.965376984127005,29.86577380952381,29.9913492063492,28.7835119047619,29.22507936507936,30.758373015873016,44.29124999999998
48,26.535674603174613,27.4428373015873,26.649464285714288,26.38619047619049,13.748551587301588,26.348432539682552,26.420396825396818,28.212182539682527,27.194365079365063,27.80031746031745,27.20226190476191,26.62813492063491,26.79696428571429,27.05486111111111,42.24125000000002
49,27.33234126984128,28.074960317460334,27.168075396825387,27.51869047619048,16.125674603174605,27.19482142857143,25.88464285714286,30.877777777777787,28.28966269841268,28.30694444444445,28.481884920634904,27.765813492063494,28.093630952380966,28.071031746031746,33.879940476190484
50,35.97960317460317,35.92166666666668,35.82007936507936,36.193373015873014,26.833829365079367,35.66966269841271,35.49460317460315,40.62672619047619,38.21837301587301,36.2548611111111,37.96559523809524,36.791031746031756,37.35349206349208,35.37765873015872,48.41835317460317
51,51.7828373015873,51.7802182539683,51.52968253968253,52.201210317460315,47.54803571428571,51.54077380952384,50.595952380952376,55.24277777777775,52.67369047619046,52.02392857142856,55.9506349206349,52.65434523809525,53.984305555555544,51.705753968253966,57.239503968253985
52,19.867361111111112,20.172222222222217,19.655416666666664,20.03361111111111,17.497222222222224,20.196111111111108,18.220138888888883,22.34958333333333,21.539722222222224,20.220555555555553,20.93541666666667,20.100972222222225,20.09347222222223,19.974305555555556,28.812916666666666
